id,pid,deep,name,pinyin_prefix,pinyin,ext_name
1101,11,1,北京,b,bei jing,北京市
1201,12,1,天津,t,tian jin,天津市
1301,13,1,石家庄,s,shi jia zhuang,石家庄市
1302,13,1,唐山,t,tang shan,唐山市
1303,13,1,秦皇岛,q,qin huang dao,秦皇岛市
1304,13,1,邯郸,h,han dan,邯郸市
1305,13,1,邢台,x,xing tai,邢台市
1306,13,1,保定,b,bao ding,保定市
1307,13,1,张家口,z,zhang jia kou,张家口市
1308,13,1,承德,c,cheng de,承德市
1309,13,1,沧州,c,cang zhou,沧州市
1310,13,1,廊坊,l,lang fang,廊坊市
1311,13,1,衡水,h,heng shui,衡水市
1401,14,1,太原,t,tai yuan,太原市
1402,14,1,大同,d,da tong,大同市
1403,14,1,阳泉,y,yang quan,阳泉市
1404,14,1,长治,c,chang zhi,长治市
1405,14,1,晋城,j,jin cheng,晋城市
1406,14,1,朔州,s,shuo zhou,朔州市
1407,14,1,晋中,j,jin zhong,晋中市
1408,14,1,运城,y,yun cheng,运城市
1409,14,1,忻州,x,xin zhou,忻州市
1410,14,1,临汾,l,lin fen,临汾市
1411,14,1,吕梁,l,lv liang,吕梁市
1501,15,1,呼和浩特,h,hu he hao te,呼和浩特市
1502,15,1,包头,b,bao tou,包头市
1503,15,1,乌海,w,wu hai,乌海市
1504,15,1,赤峰,c,chi feng,赤峰市
1505,15,1,通辽,t,tong liao,通辽市
1506,15,1,鄂尔多斯,e,e er duo si,鄂尔多斯市
1507,15,1,呼伦贝尔,h,hu lun bei er,呼伦贝尔市
1508,15,1,巴彦淖尔,b,ba yan nao er,巴彦淖尔市
1509,15,1,乌兰察布,w,wu lan cha bu,乌兰察布市
1522,15,1,兴安,x,xing an,兴安盟
1525,15,1,锡林郭勒,x,xi lin guo le,锡林郭勒盟
1529,15,1,阿拉善,a,a la shan,阿拉善盟
2101,21,1,沈阳,s,shen yang,沈阳市
2102,21,1,大连,d,da lian,大连市
2103,21,1,鞍山,a,an shan,鞍山市
2104,21,1,抚顺,f,fu shun,抚顺市
2105,21,1,本溪,b,ben xi,本溪市
2106,21,1,丹东,d,dan dong,丹东市
2107,21,1,锦州,j,jin zhou,锦州市
2108,21,1,营口,y,ying kou,营口市
2109,21,1,阜新,f,fu xin,阜新市
2110,21,1,辽阳,l,liao yang,辽阳市
2111,21,1,盘锦,p,pan jin,盘锦市
2112,21,1,铁岭,t,tie ling,铁岭市
2113,21,1,朝阳,c,chao yang,朝阳市
2114,21,1,葫芦岛,h,hu lu dao,葫芦岛市
2201,22,1,长春,c,chang chun,长春市
2202,22,1,吉林市,j,ji lin shi,吉林市
2203,22,1,四平,s,si ping,四平市
2204,22,1,辽源,l,liao yuan,辽源市
2205,22,1,通化,t,tong hua,通化市
2206,22,1,白山,b,bai shan,白山市
2207,22,1,松原,s,song yuan,松原市
2208,22,1,白城,b,bai cheng,白城市
2224,22,1,延边,y,yan bian,延边朝鲜族自治州
2301,23,1,哈尔滨,h,ha er bin,哈尔滨市
2302,23,1,齐齐哈尔,q,qi qi ha er,齐齐哈尔市
2303,23,1,鸡西,j,ji xi,鸡西市
2304,23,1,鹤岗,h,he gang,鹤岗市
2305,23,1,双鸭山,s,shuang ya shan,双鸭山市
2306,23,1,大庆,d,da qing,大庆市
2307,23,1,伊春,y,yi chun,伊春市
2308,23,1,佳木斯,j,jia mu si,佳木斯市
2309,23,1,七台河,q,qi tai he,七台河市
2310,23,1,牡丹江,m,mu dan jiang,牡丹江市
2311,23,1,黑河,h,hei he,黑河市
2312,23,1,绥化,s,sui hua,绥化市
2327,23,1,大兴安岭,d,da xing an ling,大兴安岭地区
3101,31,1,上海,s,shang hai,上海市
3201,32,1,南京,n,nan jing,南京市
3202,32,1,无锡,w,wu xi,无锡市
3203,32,1,徐州,x,xu zhou,徐州市
3204,32,1,常州,c,chang zhou,常州市
3205,32,1,苏州,s,su zhou,苏州市
3206,32,1,南通,n,nan tong,南通市
3207,32,1,连云港,l,lian yun gang,连云港市
3208,32,1,淮安,h,huai an,淮安市
3209,32,1,盐城,y,yan cheng,盐城市
3210,32,1,扬州,y,yang zhou,扬州市
3211,32,1,镇江,z,zhen jiang,镇江市
3212,32,1,泰州,t,tai zhou,泰州市
3213,32,1,宿迁,s,su qian,宿迁市
3301,33,1,杭州,h,hang zhou,杭州市
3302,33,1,宁波,n,ning bo,宁波市
3303,33,1,温州,w,wen zhou,温州市
3304,33,1,嘉兴,j,jia xing,嘉兴市
3305,33,1,湖州,h,hu zhou,湖州市
3306,33,1,绍兴,s,shao xing,绍兴市
3307,33,1,金华,j,jin hua,金华市
3308,33,1,衢州,q,qu zhou,衢州市
3309,33,1,舟山,z,zhou shan,舟山市
3310,33,1,台州,t,tai zhou,台州市
3311,33,1,丽水,l,li shui,丽水市
3401,34,1,合肥,h,he fei,合肥市
3402,34,1,芜湖,w,wu hu,芜湖市
3403,34,1,蚌埠,b,beng bu,蚌埠市
3404,34,1,淮南,h,huai nan,淮南市
3405,34,1,马鞍山,m,ma an shan,马鞍山市
3406,34,1,淮北,h,huai bei,淮北市
3407,34,1,铜陵,t,tong ling,铜陵市
3408,34,1,安庆,a,an qing,安庆市
3410,34,1,黄山,h,huang shan,黄山市
3411,34,1,滁州,c,chu zhou,滁州市
3412,34,1,阜阳,f,fu yang,阜阳市
3413,34,1,宿州,s,su zhou,宿州市
3415,34,1,六安,l,lu an,六安市
3416,34,1,亳州,b,bo zhou,亳州市
3417,34,1,池州,c,chi zhou,池州市
3418,34,1,宣城,x,xuan cheng,宣城市
3501,35,1,福州,f,fu zhou,福州市
3502,35,1,厦门,x,xia men,厦门市
3503,35,1,莆田,p,pu tian,莆田市
3504,35,1,三明,s,san ming,三明市
3505,35,1,泉州,q,quan zhou,泉州市
3506,35,1,漳州,z,zhang zhou,漳州市
3507,35,1,南平,n,nan ping,南平市
3508,35,1,龙岩,l,long yan,龙岩市
3509,35,1,宁德,n,ning de,宁德市
3601,36,1,南昌,n,nan chang,南昌市
